,Compound,DateTime,Neg,Neu,Pos,Source,Text,Tweets Ago
381,0.1027,2017-12-02 15:26:02,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",382
382,0.1027,2017-12-02 15:26:02,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",383
383,-0.6808,2017-12-02 15:26:02,0.797,0.203,0.0,BBCWorld,RT @STreachler: @BBCWorld I'm now grieving the loss of my childhood hobby of wildly drawing squiggle lines and then filling it in. I call t…,384
384,0.765,2017-12-02 15:26:02,0.476,0.105,0.419,CBSNews,RT @PatrickClaybon: Stop covering this like it’s sports for the love of god. https://t.co/jv2MDqKSEC,385
385,-0.2732,2017-12-02 15:26:02,0.9,0.1,0.0,CBSNews,"RT @kylegriffin1: The White House's proposed budget cut to HIV/AIDS efforts could result in millions of new AIDS-related infections, accord…",386
386,0.25,2017-12-02 15:26:01,0.917,0.0,0.083,CBSNews,"RT @drawandstrike: @Lrietsema @CBSNews Correct. 

He was acquitted of that. 

But anybody who thought this guy was just going to mosey on o…",387
387,-0.2732,2017-12-02 15:26:01,0.9,0.1,0.0,CBSNews,"RT @kylegriffin1: The White House's proposed budget cut to HIV/AIDS efforts could result in millions of new AIDS-related infections, accord…",388
388,-0.8687,2017-12-02 15:26:01,0.588,0.412,0.0,CBSNews,"Hecklers yell ""Lock him up!"" as Michael Flynn leaves courthouse after making guilty plea https://t.co/NQnCgrtn6c loser Liar",389
389,0.1027,2017-12-02 15:26:00,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",390
390,0.1027,2017-12-02 15:25:59,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",391
391,0.1027,2017-12-02 15:25:59,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",392
392,0.1027,2017-12-02 15:25:58,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",393
393,0.1027,2017-12-02 15:25:57,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",394
394,-0.2846,2017-12-02 15:25:57,0.779,0.132,0.089,CBSNews,"RT @jessespector: The Philadelphia Flyers also need a win, but when they get it, 13 million people won’t lose healthcare, so don’t frame go…",395
395,0.1027,2017-12-02 15:25:57,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",396
396,0.0,2017-12-02 15:25:56,1.0,0.0,0.0,BBCWorld,"@gaywonk Based on your criteria, @BBCWorld received an F this morning.",397
397,0.0,2017-12-02 15:25:54,1.0,0.0,0.0,BBCWorld,RT @AsekTimba: @PR_Paul_Biya @prc_cellcom @USEmbYaounde @UKinCameroon @BBCWorld @AJStream @RT_com @cnni @UNHumanRights @UN @Pontifex @realD…,398
